seed,best_pr_auc,baseline_pr_auc
42,0.4616545894767977,0.2875799954286887
7,0.4465404080147915,0.27673391322521695
13,0.4250264110336943,0.24827718076227143
21,0.3845249549465875,0.2638569357814113
100,0.4405872978723849,0.27084286056051166
