model,pr_2025,ci_lo,ci_hi,roc_2025,p20_2025,pr_2024_ref
RF-38,0.09539530496516682,0.04686857306303976,0.1982212626692842,0.9406194121833933,0.1,0.367
LogReg-38,0.0610319234676733,0.024333836559291628,0.15849280734251117,0.8589396385604916,0.1,0.413
Transformer-38,0.09167754858166069,0.04180759484138344,0.20824475855230004,0.9431540023957086,0.15,0.458
